"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2019","82.3538","82.3538","82.3538","82.3538","","-4.25%"
"10/03/2019","86.0110","86.0110","86.0110","86.0110","","-2.91%"
"10/02/2019","88.5897","88.5897","88.5897","88.5897","","-1.99%"
"10/01/2019","90.3907","90.3907","90.3907","90.3907","","-2.32%"
"09/30/2019","92.5385","92.5385","92.5385","92.5385","","0.51%"
"09/29/2019","92.0644","92.0644","92.0644","92.0644","","0.55%"
"09/28/2019","91.5607","91.5607","91.5607","91.5607","","-3.50%"
"09/27/2019","94.8804","94.8804","94.8804","94.8804","","1.28%"
"09/26/2019","93.6845","93.6845","93.6845","93.6845","","10.38%"
"09/25/2019","84.8722","84.8722","84.8722","84.8722","","-3.16%"
"09/24/2019","87.6421","87.6421","87.6421","87.6421","","20.44%"
"09/23/2019","72.7654","72.7654","72.7654","72.7654","","4.14%"
"09/22/2019","69.8740","69.8740","69.8740","69.8740","","2.80%"
"09/21/2019","67.9738","67.9738","67.9738","67.9738","","-2.31%"
"09/20/2019","69.5837","69.5837","69.5837","69.5837","","-4.68%"
"09/19/2019","72.9972","72.9972","72.9972","72.9972","","3.19%"
"09/18/2019","70.7392","70.7392","70.7392","70.7392","","-2.44%"
"09/17/2019","72.5113","72.5113","72.5113","72.5113","","-1.16%"
"09/16/2019","73.3657","73.3657","73.3657","73.3657","","3.13%"
"09/15/2019","71.1420","71.1420","71.1420","71.1420","","1.16%"
"09/14/2019","70.3266","70.3266","70.3266","70.3266","","-2.38%"
"09/13/2019","72.0420","72.0420","72.0420","72.0420","","-3.03%"
"09/12/2019","74.2934","74.2934","74.2934","74.2934","","0.54%"
"09/11/2019","73.8967","73.8967","73.8967","73.8967","","0.00%"
"09/10/2019","73.9001","73.9001","73.9001","73.9001","","-1.05%"
"09/09/2019","74.6841","74.6841","74.6841","74.6841","","0.16%"
"09/08/2019","74.5625","74.5625","74.5625","74.5625","","-2.40%"
"09/07/2019","76.3996","76.3996","76.3996","76.3996","","-3.51%"
"09/06/2019","79.1753","79.1753","79.1753","79.1753","","-0.32%"
"09/05/2019","79.4296","79.4296","79.4296","79.4296","","-1.67%"
"09/04/2019","80.7783","80.7783","80.7783","80.7783","","-1.61%"
"09/03/2019","82.1009","82.1009","82.1009","82.1009","","-0.82%"
"09/02/2019","82.7827","82.7827","82.7827","82.7827","","-0.59%"
"09/01/2019","83.2771","83.2771","83.2771","83.2771","","-0.96%"
"08/31/2019","84.0805","84.0805","84.0805","84.0805","","0.18%"
"08/30/2019","83.9322","83.9322","83.9322","83.9322","","-1.85%"
"08/29/2019","85.5127","85.5127","85.5127","85.5127","","-1.69%"
"08/28/2019","86.9839","86.9839","86.9839","86.9839","","-0.21%"
"08/27/2019","87.1656","87.1656","87.1656","87.1656","","-1.35%"
"08/26/2019","88.3557","88.3557","88.3557","88.3557","","0.52%"
"08/25/2019","87.9005","87.9005","87.9005","87.9005","","-1.28%"
