Date,Price,Open,High,Low,Vol.,Change %
2020-09-11,37.33,37.01,37.82,36.67,363.79K,0.08%
2020-09-14,37.26,37.32,37.68,36.82,347.56K,-0.19%
2020-09-15,38.28,37.28,38.57,37.06,348.86K,2.74%
2020-09-16,40.16,38.35,40.34,38.35,367.61K,4.91%
2020-09-17,40.97,40.19,41.22,39.42,280.67K,2.02%
2020-09-18,41.11,40.97,41.49,40.3,73.76K,0.34%
2020-09-21,39.31,40.98,41.27,38.66,66.20K,-4.38%
2020-09-22,39.6,39.63,40.02,39,23.22K,0.74%
2020-09-23,39.93,39.76,40.75,39.26,318.75K,0.83%
2020-09-24,40.31,39.6,40.37,39.12,269.99K,0.95%
2020-09-25,40.25,40.15,40.64,39.71,229.03K,-0.15%
2020-09-28,40.6,40.07,40.8,39.78,226.43K,0.87%
2020-09-29,39.29,40.58,40.7,38.41,379.60K,-3.23%
2020-09-30,40.22,39.16,40.37,38.68,340.29K,2.37%
2020-10-01,38.72,39.9,40.47,37.61,443.44K,-3.73%
2020-10-02,37.05,38.6,38.65,36.63,391.43K,-4.31%
2020-10-05,39.22,37,39.72,37,378.58K,5.86%
2020-10-06,40.67,39.35,40.86,39.1,400.53K,3.70%
2020-10-07,39.95,39.83,40.35,39.28,433.07K,-1.77%
2020-10-08,41.19,39.99,41.33,39.76,409.79K,3.10%
2020-10-09,40.6,41.31,41.47,40.38,331.70K,-1.43%
2020-10-12,39.43,40.4,40.45,39.04,322.04K,-2.88%
2020-10-13,40.2,39.53,40.53,39.35,375.47K,1.95%
2020-10-14,41.04,40.19,41.16,39.82,328.30K,2.09%
2020-10-15,40.96,41.13,41.29,39.22,248.25K,-0.19%
2020-10-16,40.88,40.88,41.05,40.08,96.49K,-0.20%
2020-10-19,40.83,40.69,41.22,40.54,75.34K,-0.12%
2020-10-20,41.46,40.65,41.7,40.25,24.52K,1.54%
2020-10-21,40.03,41.22,41.59,39.78,366.90K,-3.45%
2020-10-22,40.64,40.04,41.02,39.71,307.49K,1.52%
2020-10-23,39.85,40.61,40.92,39.57,268.93K,-1.94%
2020-10-26,38.56,39.69,39.74,38.28,360.18K,-3.24%
2020-10-27,39.57,38.59,39.83,38.51,339.54K,2.62%
2020-10-28,37.39,38.97,39.01,36.97,489.95K,-5.51%
2020-10-29,36.17,37.39,37.76,34.92,568.82K,-3.26%
2020-10-30,35.79,36.07,36.6,35.21,388.97K,-1.05%
2020-11-02,36.81,35.24,37.15,33.64,489.20K,2.85%
2020-11-03,37.66,37.03,38.32,36.57,410.61K,2.31%
2020-11-04,39.15,38.15,39.25,37.26,437.00K,3.96%
2020-11-05,38.79,39.17,39.35,38.27,298.37K,-0.92%
2020-11-06,37.14,38.54,38.61,37.06,411.03K,-4.25%
2020-11-09,40.29,37.34,41.33,37.16,622.92K,8.48%
2020-11-10,41.36,39.91,41.84,39.41,457.05K,2.66%
2020-11-11,41.45,41.79,43.06,41.32,443.77K,0.22%
2020-11-12,41.12,41.47,42.19,40.87,401.03K,-0.80%
2020-11-13,40.13,40.94,40.94,40.06,338.19K,-2.41%
2020-11-16,41.34,40.17,42.09,40.15,378.79K,3.02%
2020-11-17,41.43,41.44,41.69,40.57,243.68K,0.22%
2020-11-18,41.82,41.35,42.46,41.08,107.01K,0.94%
2020-11-19,41.74,41.61,41.98,41.08,88.14K,-0.19%
2020-11-20,42.15,41.7,42.32,41.51,29.78K,0.98%
2020-11-23,43.06,42.46,43.36,42.29,300.72K,2.16%
2020-11-24,44.91,42.84,45.2,42.82,418.53K,4.30%
2020-11-25,45.71,44.82,46.26,44.73,417.18K,1.78%
2020-11-26,44.98,45.77,46.09,44.73,,-1.60%
2020-11-27,45.53,45.9,46.09,44.55,365.13K,1.22%
2020-11-30,45.34,45.34,45.8,44.42,370.76K,-0.42%
2020-12-01,44.55,45.08,45.7,44.12,314.92K,-1.74%
2020-12-02,45.28,44.38,45.92,43.92,368.85K,1.64%
2020-12-03,45.64,44.99,45.84,44.66,350.77K,0.80%
2020-12-04,46.26,45.64,46.68,45.61,335.45K,1.36%
2020-12-07,45.76,46.15,46.54,45.36,348.87K,-1.08%
2020-12-08,45.6,45.66,45.93,45.14,332.64K,-0.35%
2020-12-09,45.52,45.6,46.24,44.95,434.98K,-0.18%
