Date,Open,High,Low,Close,Adj Close,Volume
2023-05-11,101.410004,102.150002,101.300003,102.059998,102.059998,0
2023-05-12,102.099998,102.709999,101.940002,102.680000,102.680000,0
2023-05-14,null,null,null,null,null,null
2023-05-15,102.709999,102.750000,102.379997,102.430000,102.430000,0
2023-05-16,102.430000,102.690002,102.199997,102.559998,102.559998,0
2023-05-17,102.610001,103.110001,102.540001,102.879997,102.879997,0
2023-05-18,102.910004,103.620003,102.800003,103.580002,103.580002,0
2023-05-19,103.510002,103.620003,103.000000,103.199997,103.199997,0
2023-05-21,null,null,null,null,null,null
2023-05-22,103.190002,103.370003,102.959999,103.199997,103.199997,0
2023-05-23,103.269997,103.650002,103.160004,103.489998,103.489998,0
2023-05-24,103.540001,103.910004,103.349998,103.889999,103.889999,0
2023-05-25,103.860001,104.309998,103.839996,104.209999,104.209999,0
2023-05-26,104.230003,104.419998,103.849998,104.209999,104.209999,0
2023-05-28,null,null,null,null,null,null
2023-05-30,104.300003,104.529999,103.879997,104.169998,104.169998,0
2023-05-31,104.050003,104.699997,104.010002,104.320000,104.320000,0
2023-06-01,104.150002,104.500000,103.500000,103.559998,103.559998,0
2023-06-02,103.559998,104.089996,103.379997,104.019997,104.019997,0
2023-06-04,null,null,null,null,null,null
2023-06-05,104.040001,104.400002,103.930000,104.000000,104.000000,0
2023-06-06,104.010002,104.370003,103.820000,104.129997,104.129997,0
2023-06-07,104.120003,104.300003,103.660004,104.099998,104.099998,0
2023-06-08,104.070000,104.070000,103.300003,103.339996,103.339996,0
2023-06-09,103.300003,103.610001,103.300003,103.559998,103.559998,0
2023-06-11,null,null,null,null,null,null
2023-06-12,103.550003,103.760002,103.239998,103.629997,103.629997,0
2023-06-13,103.580002,103.620003,103.050003,103.339996,103.339996,0
2023-06-14,103.320000,103.400002,102.660004,103.010002,103.010002,0
2023-06-15,102.959999,103.379997,102.089996,102.120003,102.120003,0
2023-06-16,102.120003,102.430000,102.010002,102.300003,102.300003,0
2023-06-18,null,null,null,null,null,null
2023-06-20,102.480003,102.790001,102.320000,102.540001,102.540001,0
2023-06-21,102.500000,102.709999,102.019997,102.070000,102.070000,0
2023-06-22,102.029999,102.470001,101.919998,102.389999,102.389999,0
2023-06-23,102.379997,103.169998,102.379997,102.900002,102.900002,0
2023-06-25,null,null,null,null,null,null
2023-06-26,102.830002,102.830002,102.610001,102.690002,102.690002,0
2023-06-27,102.739998,102.800003,102.320000,102.489998,102.489998,0
2023-06-28,102.510002,103.150002,102.470001,102.910004,102.910004,0
2023-06-29,102.959999,103.440002,102.779999,103.339996,103.339996,0
2023-06-30,103.349998,103.540001,102.750000,102.910004,102.910004,0
2023-07-02,null,null,null,null,null,null
2023-07-03,102.919998,103.269997,102.750000,102.989998,102.989998,0
2023-07-05,103.080002,103.389999,102.959999,103.370003,103.370003,0
2023-07-06,103.349998,103.570000,102.919998,103.169998,103.169998,0
2023-07-07,103.080002,103.190002,102.230003,102.269997,102.269997,0
2023-07-09,null,null,null,null,null,null
2023-07-10,102.290001,102.559998,101.949997,101.970001,101.970001,0
2023-07-11,101.940002,101.970001,101.650002,101.730003,101.730003,0
2023-07-12,101.589996,101.610001,100.510002,100.519997,100.519997,0
2023-07-13,100.519997,100.610001,99.739998,99.769997,99.769997,0
2023-07-14,99.750000,100.019997,99.580002,99.910004,99.910004,0
2023-07-16,null,null,null,null,null,null
2023-07-17,99.959999,100.180000,99.750000,99.839996,99.839996,0
2023-07-18,99.889999,100.110001,99.589996,99.940002,99.940002,0
2023-07-19,99.980003,100.540001,99.930000,100.279999,100.279999,0
2023-07-20,100.279999,100.970001,100.019997,100.879997,100.879997,0
2023-07-21,100.779999,101.190002,100.720001,101.070000,101.070000,0
2023-07-23,null,null,null,null,null,null
2023-07-24,101.089996,101.430000,100.889999,101.349998,101.349998,0
2023-07-25,101.419998,101.650002,101.190002,101.349998,101.349998,0
2023-07-26,101.320000,101.440002,100.860001,100.889999,100.889999,0
2023-07-27,101.110001,101.839996,100.550003,101.769997,101.769997,0
2023-07-28,101.690002,102.040001,101.360001,101.620003,101.620003,0
2023-07-30,null,null,null,null,null,null
2023-07-31,101.699997,101.910004,101.529999,101.860001,101.860001,0
2023-08-01,101.870003,102.430000,101.849998,102.300003,102.300003,0
2023-08-02,101.959999,102.779999,101.959999,102.589996,102.589996,0
2023-08-03,102.589996,102.839996,102.370003,102.540001,102.540001,0
2023-08-04,102.449997,102.620003,101.739998,102.019997,102.019997,0
2023-08-06,null,null,null,null,null,null
2023-08-07,102.010002,102.379997,101.970001,102.050003,102.050003,0
2023-08-08,102.070000,102.800003,102.070000,102.529999,102.529999,0
2023-08-09,102.550003,102.580002,102.290001,102.489998,102.489998,0
2023-08-10,102.480003,102.650002,101.779999,102.519997,102.519997,0
2023-08-11,102.620003,102.910004,102.419998,102.839996,102.839996,0
2023-08-13,null,null,null,null,null,null
2023-08-14,102.849998,103.459999,102.769997,103.190002,103.190002,0
2023-08-15,103.150002,103.269997,102.820000,103.209999,103.209999,0
2023-08-16,103.209999,103.529999,102.940002,103.419998,103.419998,0
2023-08-17,103.480003,103.599998,103.059998,103.440002,103.440002,0
2023-08-18,103.400002,103.680000,103.230003,103.379997,103.379997,0
2023-08-20,null,null,null,null,null,null
2023-08-21,103.430000,103.500000,103.139999,103.330002,103.330002,0
2023-08-22,103.330002,103.720001,103.010002,103.559998,103.559998,0
2023-08-23,103.580002,103.980003,103.300003,103.360001,103.360001,0
2023-08-24,103.360001,104.029999,103.269997,103.980003,103.980003,0
2023-08-25,104.099998,104.449997,103.739998,104.080002,104.080002,0
2023-08-27,null,null,null,null,null,null
2023-08-28,104.190002,104.209999,103.980003,104.059998,104.059998,0
2023-08-29,103.919998,104.360001,103.370003,103.550003,103.550003,0
2023-08-30,103.440002,103.699997,102.940002,103.160004,103.160004,0
2023-08-31,103.099998,103.739998,103.010002,103.620003,103.620003,0
2023-09-01,103.620003,104.290001,103.269997,104.239998,104.239998,0
2023-09-03,null,null,null,null,null,null
2023-09-05,104.129997,104.910004,104.110001,104.809998,104.809998,0
2023-09-06,104.750000,105.019997,104.589996,104.860001,104.860001,0
2023-09-07,104.860001,105.160004,104.800003,105.059998,105.059998,0
2023-09-08,105.059998,105.099998,104.660004,105.089996,105.089996,0
2023-09-10,null,null,null,null,null,null
2023-09-11,104.940002,104.940002,104.419998,104.570000,104.570000,0
2023-09-12,104.559998,104.919998,104.459999,104.709999,104.709999,0
2023-09-13,104.580002,104.970001,104.510002,104.769997,104.769997,0
2023-09-14,104.739998,105.440002,104.559998,105.410004,105.410004,0
2023-09-15,105.379997,105.410004,105.080002,105.320000,105.320000,0
2023-09-17,null,null,null,null,null,null
2023-09-18,105.300003,105.360001,105.019997,105.199997,105.199997,0
2023-09-19,105.080002,105.209999,104.820000,105.199997,105.199997,0
2023-09-20,105.110001,105.440002,104.669998,105.160004,105.160004,0
2023-09-21,105.440002,105.739998,105.279999,105.360001,105.360001,0
2023-09-22,null,null,null,null,null,null
